id,price_doc
4116,6707587.128530493
244,5223873.887020008
5108,4068356.852678228
8005,4330743.391070935
728,4330743.391070935
3675,3821867.51100571
1741,3821867.51100571
5558,4068356.852678228
5019,2976473.1891671913
7309,4068356.852678228
3948,3168439.2814805033
2831,3821867.51100571
3318,3372786.123048139
3457,3372786.123048139
5440,5919424.747241363
1270,4610052.40728461
3528,3590312.2035942525
4849,4907375.307369865
6815,3821867.51100571
8941,5560784.871312957
1111,6707587.128530493
1931,5223873.887020008
5390,4610052.40728461
1298,4330743.391070935
4660,5223873.887020008
5343,3821867.51100571
6873,5223873.887020008
6966,5919424.747241363
8208,4907375.307369865
414,3590312.2035942525
4791,4610052.40728461
320,3590312.2035942525
1015,4907375.307369865
3899,3590312.2035942525
5056,3821867.51100571
6868,3821867.51100571
6902,3821867.51100571
7806,4330743.391070935
4948,3372786.123048139
439,3590312.2035942525
2129,3168439.2814805033
7284,3372786.123048139
7764,4330743.391070935
8322,4610052.40728461
8689,4907375.307369865
1115,4330743.391070935
2866,2976473.1891671913
4051,4068356.852678228
1611,4068356.852678228
3484,3168439.2814805033
4559,4330743.391070935
5260,4610052.40728461
7841,4068356.852678228
2608,4068356.852678228
2876,3168439.2814805033
1703,3372786.123048139
2947,3821867.51100571
6918,3821867.51100571
3223,3372786.123048139
3514,4907375.307369865
8162,4610052.40728461
3678,3590312.2035942525
8220,5223873.887020008
3127,5223873.887020008
3811,3168439.2814805033
7903,4068356.852678228
56,3372786.123048139
1482,4330743.391070935
6657,4610052.40728461
3903,4068356.852678228
8343,3821867.51100571
7594,6301194.907914141
7599,3590312.2035942525
375,4610052.40728461
1174,4068356.852678228
2722,3590312.2035942525
3960,5919424.747241363
4115,4068356.852678228
8222,4330743.391070935
536,3821867.51100571
4774,4330743.391070935
7579,5223873.887020008
8461,4068356.852678228
417,3372786.123048139
4768,4330743.391070935
6551,4610052.40728461
564,4068356.852678228
6244,3590312.2035942525
8842,5560784.871312957
700,4610052.40728461
3495,3821867.51100571
3792,4068356.852678228
3808,8090894.701290546
6398,3372786.123048139
5356,3372786.123048139
6804,3590312.2035942525
2434,4907375.307369865
6127,3590312.2035942525
9087,4610052.40728461
2486,4068356.852678228
4990,4068356.852678228
5829,4907375.307369865
6250,4610052.40728461
4668,4330743.391070935
7993,3821867.51100571
3897,3590312.2035942525
6853,5560784.871312957
7231,4610052.40728461
1660,4068356.852678228
8103,4610052.40728461
6944,4330743.391070935
7355,4610052.40728461
606,4330743.391070935
875,4907375.307369865
907,4610052.40728461
5238,4330743.391070935
814,3821867.51100571
2233,7140189.395523924
4092,2976473.1891671913
4690,4330743.391070935
15,3590312.2035942525
317,4610052.40728461
500,4068356.852678228
8363,2626728.252563041
4057,4610052.40728461
4802,3372786.123048139
5739,3821867.51100571
7193,3821867.51100571
7242,6707587.128530493
7683,5560784.871312957
1497,3372786.123048139
5644,5223873.887020008
8741,8090894.701290546
357,5560784.871312957
3243,4610052.40728461
3455,3590312.2035942525
4270,4330743.391070935
7511,7140189.395523924
838,4068356.852678228
2727,4330743.391070935
3234,3372786.123048139
3486,4330743.391070935
6459,3168439.2814805033
4060,3590312.2035942525
6175,4610052.40728461
8943,5223873.887020008
4883,3821867.51100571
6542,5223873.887020008
7532,4330743.391070935
8514,5560784.871312957
535,5560784.871312957
1902,6301194.907914141
7244,4068356.852678228
899,3821867.51100571
7845,4068356.852678228
979,4907375.307369865
1698,4330743.391070935
2028,3372786.123048139
4083,4068356.852678228
481,3821867.51100571
2938,4068356.852678228
3751,2976473.1891671913
3858,3821867.51100571
4012,5223873.887020008
4257,4330743.391070935
5854,3821867.51100571
8773,6707587.128530493
1418,3821867.51100571
1882,4068356.852678228
1892,3590312.2035942525
6989,4610052.40728461
7715,3372786.123048139
496,4068356.852678228
3167,3821867.51100571
3704,3372786.123048139
7183,3821867.51100571
7559,4610052.40728461
7740,3168439.2814805033
1379,3821867.51100571
6042,6707587.128530493
661,3372786.123048139
4752,4068356.852678228
2265,4330743.391070935
3605,4907375.307369865
7817,2976473.1891671913
4521,4610052.40728461
4662,3372786.123048139
5195,7600692.111653737
7640,3590312.2035942525
8030,4610052.40728461
830,6301194.907914141
1541,3168439.2814805033
4025,4330743.391070935
9020,4610052.40728461
634,4610052.40728461
4986,4330743.391070935
7247,4068356.852678228
6271,5560784.871312957
8134,4907375.307369865
8260,4330743.391070935
8487,3821867.51100571
570,3821867.51100571
2654,3821867.51100571
4941,6301194.907914141
5393,3590312.2035942525
7246,5560784.871312957
5657,5919424.747241363
7415,3372786.123048139
8173,4610052.40728461
1634,2796137.7344308076
3624,3821867.51100571
7853,5223873.887020008
2502,5919424.747241363
3094,3372786.123048139
5722,4610052.40728461
1801,4068356.852678228
7096,6301194.907914141
1183,4330743.391070935
3475,3821867.51100571
7608,5223873.887020008
139,6301194.907914141
3202,4907375.307369865
6659,5063152.1532461485
4501,5737303.163241297
5863,6920508.83183058
6224,4756391.211184672
8154,4468215.975051153
433,3943186.640558553
6744,11409990.763828445
7922,4756391.211184672
313,3479849.879102782
2631,5063152.1532461485
7255,3943186.640558553
7296,3479849.879102782
8722,4756391.211184672
3112,6920508.83183058
3923,5063152.1532461485
3157,3479849.879102782
3740,4197500.3938479675
5141,4197500.3938479675
5213,5063152.1532461485
5290,6501216.337350737
7908,5737303.163241297
8408,12929213.51668743
8658,5389697.476283012
819,5389697.476283012
2819,4756391.211184672
4732,5063152.1532461485
5230,5737303.163241297
6365,5063152.1532461485
7013,5389697.476283012
7158,5063152.1532461485
4326,4197500.3938479675
5546,5389697.476283012
2970,7841964.010372585
6656,3704280.9786653533
181,5737303.163241297
696,5737303.163241297
6008,5737303.163241297
580,4756391.211184672
6032,5063152.1532461485
509,6501216.337350737
1655,4756391.211184672
4756,6501216.337350737
6955,5063152.1532461485
2617,4756391.211184672
3321,3943186.640558553
5973,6107327.490896726
6167,4197500.3938479675
6580,4756391.211184672
8410,5737303.163241297
319,5389697.476283012
4029,6107327.490896726
6181,5737303.163241297
7223,4197500.3938479675
8270,4756391.211184672
9026,11409990.763828445
4557,8347727.30056935
6701,5063152.1532461485
422,4468215.975051153
4109,5737303.163241297
4308,5389697.476283012
4353,4468215.975051153
